cyclecount,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64
0,2.7e-05,0.0,0.0,6e-06,0.0,0.0,0.0,1.7e-05,0.0,0.0,2.4e-05,0.0,1.2e-05,0.0,8e-06,3e-06,0.0,1e-06,1e-06,2e-06,0.0,3e-06,2e-06,4e-06,2e-06,2e-06,1e-06,2e-06,2e-06,2e-06,1e-06,2e-06,3e-06,4e-06,6e-06,7e-06,6e-06,5e-06,3.3e-05,3e-05,2.1e-05,2.5e-05,1.3e-05,1.9e-05,1.9e-05,1.5e-05,2.5e-05,1.4e-05,1.3e-05,1.6e-05,1e-05,1.3e-05,2.3e-05,8e-05,9.4e-05,0.000129,0.000139,0.000171,0.000232,0.000211,0.000172,0.000113,0.000313,0.00216
1,2.9e-05,0.0,0.0,1.8e-05,0.0,0.0,0.0,9e-06,0.0,0.0,8e-06,0.0,1.3e-05,0.0,8e-06,6e-06,0.0,2e-06,3e-06,3e-06,1e-06,1e-06,1e-06,1e-06,2e-06,4e-06,1e-06,1e-06,2e-06,2e-06,1e-06,2e-06,2e-06,4e-06,7e-06,6e-06,5e-06,6e-06,1.3e-05,2e-05,3.3e-05,1.7e-05,1.4e-05,1.6e-05,1.9e-05,1.5e-05,1.3e-05,1.3e-05,9e-06,2e-05,1e-05,1e-05,4.9e-05,7.5e-05,0.000109,0.000108,0.000155,0.000177,0.000212,0.000178,0.000151,9.5e-05,0.000338,0.002095
2,1.5e-05,0.0,0.0,1.4e-05,0.0,0.0,0.0,1.2e-05,0.0,0.0,1.7e-05,0.0,1.3e-05,0.0,1.9e-05,8e-06,0.0,3e-06,2e-06,3e-06,4e-06,3e-06,1e-06,2e-06,2e-06,4e-06,1e-06,2e-06,2e-06,2e-06,1e-06,3e-06,3e-06,7e-06,9e-06,8e-06,7e-06,5e-06,3.6e-05,2e-05,2.4e-05,2.5e-05,1.3e-05,1.8e-05,2.1e-05,1.6e-05,1.5e-05,1.1e-05,1e-05,1.6e-05,1e-05,1e-05,2.4e-05,5.4e-05,7.7e-05,0.000147,0.000174,0.000192,0.000249,0.000227,0.000181,0.000127,0.000253,0.002245
3,2.1e-05,0.0,0.0,2.3e-05,0.0,0.0,0.0,3.1e-05,0.0,0.0,1.2e-05,0.0,5e-06,0.0,7e-06,4e-06,0.0,1e-06,1e-06,1e-06,1e-06,2e-06,3e-06,3e-06,2e-06,2e-06,1e-06,2e-06,1e-06,3e-06,2e-06,2e-06,4e-06,7e-06,7e-06,5e-06,4e-06,4e-06,2.6e-05,2.1e-05,2.3e-05,1.4e-05,2e-05,2.4e-05,1.4e-05,2e-05,1.2e-05,1.2e-05,1.4e-05,1.4e-05,9e-06,1.1e-05,3.2e-05,4.6e-05,6.3e-05,9.4e-05,0.000163,0.00018,0.000211,0.00025,0.000188,9.6e-05,0.000319,0.001987
4,0.003291,0.0,0.0,0.003281,0.0,0.0,0.0,0.003257,0.0,0.0,0.003298,0.0,0.003266,0.0,0.00237,0.000852,0.0,0.000458,0.000469,0.000452,0.000435,0.000417,0.000489,0.000404,0.000358,0.000395,0.000165,0.000137,0.000103,6.4e-05,3.1e-05,2.2e-05,3.9e-05,1.3e-05,3e-05,2.2e-05,0.000101,0.000219,0.001279,0.001281,0.001126,0.000649,0.000451,0.000307,0.000307,0.000321,0.000184,0.00011,0.000178,0.000319,0.00059,0.000454,0.000412,0.000258,0.000252,0.000186,0.000265,0.000214,0.000206,0.000233,0.000195,0.000176,0.000469,0.002058
5,0.108463,0.0,0.0,0.123151,0.0,0.0,0.0,0.058699,0.0,0.0,0.255583,0.0,0.933557,0.0,1.564137,0.948816,0.0,0.668554,0.696202,0.546066,0.363238,0.374292,0.263554,0.565651,0.859052,0.72823,0.102902,0.083639,0.342553,0.28472,0.268187,0.401122,0.116853,0.423327,0.200555,0.357997,0.561296,0.283782,0.90825,0.617637,0.817455,0.859722,0.44412,0.514403,0.489273,0.336874,0.278539,0.383377,0.173029,0.185728,0.353366,0.322794,0.142126,0.124073,0.195829,0.091289,0.05378,0.037278,0.011837,0.008887,0.010668,0.008779,0.01113,0.010717
6,0.270228,0.0,0.0,0.072119,0.0,0.0,0.0,0.143456,0.0,0.0,0.111779,0.0,1.078014,0.0,1.364801,0.454626,0.0,1.531622,2.229209,0.850029,0.126088,0.124499,0.043297,0.192749,1.625837,0.573018,0.040785,0.06907,0.643467,0.041764,0.030644,0.779073,0.128852,0.791651,0.115449,0.515075,0.963568,0.528802,1.263559,0.861904,3.032767,1.364772,0.519866,0.500294,0.812417,0.527806,0.384981,0.7046,0.392305,0.252761,0.703443,0.551782,0.225951,0.196857,0.218538,0.101625,0.054608,0.028004,0.01368,0.010628,0.010192,0.01059,0.009802,0.011041
7,0.251479,0.0,0.0,0.151366,0.0,0.0,0.0,0.091048,0.0,0.0,0.201361,0.0,0.451729,0.0,0.442561,0.331771,0.0,1.856736,2.707365,1.029874,0.052193,0.048522,0.120042,0.280243,1.322593,0.184286,0.024035,0.014883,0.576805,0.026921,0.01048,0.65434,0.024172,0.701838,0.109649,0.515618,0.872826,0.496103,1.230414,0.881957,3.980317,1.140059,0.31816,0.807025,0.737325,0.387493,0.283811,0.476595,0.488862,0.18927,0.465884,0.3843,0.142941,0.114418,0.085663,0.067269,0.058365,0.021759,0.011511,0.012902,0.00994,0.010317,0.010865,0.011383
8,0.264726,0.0,0.0,0.146259,0.0,0.0,0.0,0.097387,0.0,0.0,0.036588,0.0,0.158912,0.0,0.256637,0.239867,0.0,1.633226,2.380592,0.807976,0.052508,0.035939,0.036172,0.321426,1.353629,0.349878,0.025848,0.010626,0.535649,0.021782,0.004243,0.639944,0.020386,0.627131,0.109906,0.503522,0.771314,0.460208,1.152219,0.94247,3.937817,0.998284,0.288482,0.56853,0.578161,0.247986,0.226263,0.293298,0.491703,0.125617,0.233893,0.263438,0.083198,0.224706,0.068414,0.061492,0.049196,0.035398,0.014896,0.00976,0.010656,0.010536,0.010559,0.01107
9,0.26823,0.0,0.0,0.128801,0.0,0.0,0.0,0.093636,0.0,0.0,0.046492,0.0,0.092482,0.0,0.1403,0.255165,0.0,1.412107,1.976633,0.623433,0.053749,0.030261,0.04889,0.288398,1.297861,0.321063,0.007601,0.017226,0.471349,0.034383,0.01083,0.659208,0.012505,0.571535,0.102496,0.464809,0.702401,0.424983,1.040481,0.820115,3.723932,0.867824,0.234847,0.478649,0.514435,0.173157,0.156735,0.150578,0.394331,0.083877,0.084607,0.128536,0.138315,0.217384,0.085484,0.075409,0.036142,0.031778,0.008628,0.008055,0.011457,0.007758,0.007851,0.01058
