id,type,parent_id,branch_level,translate_x,translate_y,translate_z,rotate_x,rotate_y,rotate_z,scale_x,scale_y,scale_z,color_r,color_g,color_b,color_a,geometry,hide,topo,ratio,ch_input_id
1,5,0,0,-94.5,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,38,46,255,255,3,0,2,0.1,1
65,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,38,46,255,255,5,0,2,0.1,1
66,5,65,2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,46,255,255,1,0,2,0.1,1
67,5,65,2,180.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,46,255,255,11,0,2,0.1,1
68,5,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,38,46,255,255,9,0,2,0.1,1
69,5,68,2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,46,255,255,9,0,2,0.1,1
70,5,68,2,180.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,46,255,255,7,0,2,0.1,1
71,5,1,1,180.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,38,46,255,255,5,0,2,0.1,1
72,5,71,2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,46,255,255,19,0,2,0.1,1
73,5,71,2,180.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,46,255,255,5,0,2,0.1,1
74,5,1,1,270.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,38,46,255,255,15,0,2,0.1,1
75,5,74,2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,46,255,255,1,0,2,0.1,1
76,5,74,2,180.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,46,255,255,1,0,2,0.1,1
2,5,0,0,-91.5,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,38,60,255,255,3,0,2,0.1,2
77,5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,38,60,255,255,5,0,2,0.1,2
78,5,77,2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,60,255,255,9,0,2,0.1,2
79,5,77,2,180.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,60,255,255,9,0,2,0.1,2
80,5,2,1,90.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,38,60,255,255,19,0,2,0.1,2
81,5,80,2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,60,255,255,1,0,2,0.1,2
82,5,80,2,180.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,60,255,255,19,0,2,0.1,2
83,5,2,1,180.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,38,60,255,255,9,0,2,0.1,2
84,5,83,2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,60,255,255,19,0,2,0.1,2
85,5,83,2,180.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,60,255,255,15,0,2,0.1,2
86,5,2,1,270.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,38,60,255,255,9,0,2,0.1,2
87,5,86,2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,60,255,255,16,0,2,0.1,2
88,5,86,2,180.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,60,255,255,11,0,2,0.1,2
3,5,0,0,-88.5,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,38,74,255,255,3,0,2,0.1,3
89,5,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,38,74,255,255,1,0,2,0.1,3
90,5,89,2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,74,255,255,7,0,2,0.1,3
91,5,89,2,180.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,74,255,255,15,0,2,0.1,3
92,5,3,1,90.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,38,74,255,255,13,0,2,0.1,3
93,5,92,2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,74,255,255,11,0,2,0.1,3
94,5,92,2,180.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,74,255,255,7,0,2,0.1,3
95,5,3,1,180.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,38,74,255,255,9,0,2,0.1,3
96,5,95,2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,74,255,255,13,0,2,0.1,3
97,5,95,2,180.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,74,255,255,5,0,2,0.1,3
98,5,3,1,270.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,38,74,255,255,5,0,2,0.1,3
99,5,98,2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,74,255,255,15,0,2,0.1,3
100,5,98,2,180.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,38,74,255,255,5,0,2,0.1,3
4,5,0,0,-85.5,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,38,87,255,255,3,0,2,0.1,4
