id,table_id,record_id,title
0,0,1,21 Hz
1,0,2,23 Hz
2,0,3,26 Hz
3,0,4,29 Hz
4,0,5,32 Hz
5,0,6,36 Hz
6,0,7,39 Hz
7,0,8,44 Hz
8,0,9,49 Hz
9,0,10,54 Hz
10,0,11,60 Hz
11,0,12,66 Hz
12,0,13,74 Hz
13,0,14,82 Hz
14,0,15,91 Hz
15,0,16,101 Hz
16,0,17,112 Hz
17,0,18,124 Hz
18,0,19,138 Hz
19,0,20,153 Hz
20,0,21,170 Hz
21,0,22,189 Hz
22,0,23,210 Hz
23,0,24,233 Hz
24,0,25,258 Hz
25,0,26,287 Hz
26,0,27,318 Hz
27,0,28,354 Hz
28,0,29,392 Hz
29,0,30,436 Hz
30,0,31,484 Hz
31,0,32,537 Hz
32,0,33,596 Hz
33,0,34,662 Hz
34,0,35,734 Hz
35,0,36,815 Hz
36,0,37,905 Hz
37,0,38,1005 Hz
38,0,39,1115 Hz
39,0,40,1238 Hz
40,0,41,1374 Hz
41,0,42,1526 Hz
42,0,43,1694 Hz
43,0,44,1880 Hz
44,0,45,2087 Hz
45,0,46,2317 Hz
46,0,47,2572 Hz
47,0,48,2855 Hz
48,0,49,3170 Hz
49,0,50,3519 Hz
50,0,51,3906 Hz
51,0,52,4336 Hz
52,0,53,4814 Hz
53,0,54,5344 Hz
54,0,55,5932 Hz
55,0,56,6585 Hz
56,0,57,7310 Hz
57,0,58,8115 Hz
58,0,59,9008 Hz
59,0,60,10000 Hz
60,0,61,11101 Hz
61,0,62,12323 Hz
62,0,63,13680 Hz
63,0,64,15186 Hz
