cycleCount,ch1,ch2,ch3
1,160,178,0
2,166,180,0
3,172,182,0
4,179,184,0
5,184,186,0
6,190,188,0
7,195,190,0
8,200,192,0
9,205,194,0
10,209,196,0
11,212,198,0
12,215,200,0
13,217,201,0
14,219,203,0
15,220,205,0
16,220,207,0
17,220,209,0
18,219,211,0
19,217,213,0
20,215,214,0
21,212,216,0
22,209,218,0
23,205,220,0
24,200,221,0
25,195,223,0
26,190,225,0
27,184,226,0
28,179,228,0
29,172,229,0
30,166,231,0
31,160,232,0
32,154,234,0
33,148,235,0
34,141,236,0
35,136,238,0
36,130,239,0
37,125,240,0
38,120,241,0
39,115,242,0
40,111,244,0
41,108,245,0
42,105,246,0
43,103,247,0
44,101,247,0
45,100,248,0
46,100,249,0
47,100,250,0
48,101,251,0
49,103,251,0
50,105,252,0
51,108,252,0
52,111,253,0
53,115,253,0
54,120,254,0
55,125,254,0
56,130,254,0
57,136,255,0
58,141,255,0
59,148,255,0
60,154,255,0
61,160,255,0
62,166,255,0
63,172,255,0
64,179,255,0
65,184,255,0
66,190,254,0
67,195,254,0
68,200,254,0
69,205,253,0
70,209,253,0
71,212,252,0
72,215,252,0
73,217,251,0
74,219,251,0
75,220,250,0
76,220,249,0
77,220,248,0
78,219,247,0
79,217,247,0
80,215,246,0
81,212,245,0
82,209,244,0
83,205,242,0
84,200,241,0
85,195,240,0
86,190,239,0
87,184,238,0
88,179,236,0
89,172,235,0
90,166,234,0
91,160,232,0
92,154,231,0
93,148,229,0
94,141,228,0
95,136,226,0
96,130,225,0
97,125,223,0
98,120,221,0
99,115,220,0
100,111,218,0
101,108,216,0
102,105,214,0
103,103,213,0
104,101,211,0
105,100,209,0
106,100,207,0
107,100,205,0
108,101,203,0
109,103,201,0
110,105,200,0
111,108,198,0
112,111,196,0
113,115,194,0
114,120,192,0
115,125,190,0
116,130,188,0
117,136,186,0
118,141,184,0
119,148,182,0
120,154,180,0
121,160,178,0
122,166,175,0
123,172,173,0
124,179,171,0
125,184,169,0
126,190,167,0
127,195,165,0
128,200,163,0
129,205,161,0
130,209,159,0
131,212,157,0
132,215,155,0
133,217,154,0
134,219,152,0
135,220,150,0
136,220,148,0
137,220,146,0
138,219,144,0
139,217,142,0
140,215,141,0
141,212,139,0
142,209,137,0
143,205,135,0
144,200,134,0
145,195,132,0
146,190,130,0
147,184,129,0
148,179,127,0
149,172,126,0
150,166,124,0
151,160,123,0
152,154,121,0
153,148,120,0
154,141,119,0
155,136,117,0
156,130,116,0
157,125,115,0
158,120,114,0
159,115,113,0
160,111,111,0
161,108,110,0
162,105,109,0
163,103,108,0
164,101,108,0
165,100,107,0
166,100,106,0
167,100,105,0
168,101,104,0
169,103,104,0
170,105,103,0
171,108,103,0
172,111,102,0
173,115,102,0
174,120,101,0
175,125,101,0
176,130,101,0
177,136,100,0
178,141,100,0
179,148,100,0
180,154,100,0
181,160,100,0
182,166,100,0
183,172,100,0
184,179,100,0
185,184,100,0
186,190,101,0
187,195,101,0
188,200,101,0
189,205,102,0
190,209,102,0
191,212,103,0
192,215,103,0
193,217,104,0
194,219,104,0
195,220,105,0
196,220,106,0
197,220,107,0
198,219,108,0
199,217,108,0
200,215,109,0
201,212,110,0
202,209,111,0
203,205,113,0
204,200,114,0
205,195,115,0
206,190,116,0
207,184,117,0
208,179,119,0
209,172,120,0
210,166,121,0
211,160,123,0
212,154,124,0
213,148,126,0
214,141,127,0
215,136,129,0
216,130,130,0
217,125,132,0
218,120,134,0
219,115,135,0
220,111,137,0
221,108,139,0
222,105,141,0
223,103,142,0
224,101,144,0
225,100,146,0
226,100,148,0
227,100,150,0
228,101,152,0
229,103,154,0
230,105,155,0
231,108,157,0
232,111,159,0
233,115,161,0
234,120,163,0
235,125,165,0
236,130,167,0
237,136,169,0
238,141,171,0
239,148,173,0
240,154,175,0
241,160,178,0
242,166,180,0
243,172,182,0
244,179,184,0
245,184,186,0
246,190,188,0
247,195,190,0
248,200,192,0
249,205,194,0
250,209,196,0
251,212,198,0
252,215,200,0
253,217,201,0
254,219,203,0
255,220,205,0
256,220,207,0
257,220,209,0
258,219,211,0
259,217,213,0
260,215,214,0
261,212,216,0
262,209,218,0
263,205,220,0
264,200,221,0
265,195,223,0
266,190,225,0
267,184,226,0
268,179,228,0
269,172,229,0
270,166,231,0
271,160,232,0
272,154,234,0
273,148,235,0
274,141,236,0
275,136,238,0
276,130,239,0
277,125,240,0
278,120,241,0
279,115,242,0
280,111,244,0
281,108,245,0
282,105,246,0
283,103,247,0
284,101,247,0
285,100,248,0
286,100,249,0
287,100,250,0
288,101,251,0
289,103,251,0
290,105,252,0
291,108,252,0
292,111,253,0
293,115,253,0
294,120,254,0
295,125,254,0
296,130,254,0
297,136,255,0
298,141,255,0
299,148,255,0
300,154,255,0
301,160,255,0
302,166,255,0
303,172,255,0
304,179,255,0
305,184,255,0
306,190,254,0
307,195,254,0
308,200,254,0
309,205,253,0
310,209,253,0
311,212,252,0
312,215,252,0
313,217,251,0
314,219,251,0
315,220,250,0
316,220,249,0
317,220,248,0
318,219,247,0
319,217,247,0
320,215,246,0
321,212,245,0
322,209,244,0
323,205,242,0
324,200,241,0
325,195,240,0
326,190,239,0
327,184,238,0
328,179,236,0
329,172,235,0
330,166,234,0
331,160,232,0
332,154,231,0
333,148,229,0
334,141,228,0
335,136,226,0
336,130,225,0
337,125,223,0
338,120,221,0
339,115,220,0
340,111,218,0
341,108,216,0
342,105,214,0
343,103,213,0
344,101,211,0
345,100,209,0
346,100,207,0
347,100,205,0
348,101,203,0
349,103,201,0
350,105,200,0
351,108,198,0
352,111,196,0
353,115,194,0
354,120,192,0
355,125,190,0
356,130,188,0
357,136,186,0
358,141,184,0
359,148,182,0
360,154,180,0
