id,type,parent_id,branch_level,translate_x,translate_y,translate_z,rotate_x,rotate_y,rotate_z,scale_x,scale_y,scale_z,color_r,color_g,color_b,color_a,geometry,hide,topo,ratio,rotate_rate_y,texture_id,facet,segments_x,segments_y
1,5,0,0,-97.170124,53.98287,2,0.0,0.0,0.0,0.25,0.25,0.25,127,127,127,255,2,0,5,0.1,0.0,0,0,16,16
2,5,1,1,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,127,127,127,155,7,0,3,0.06,0.0,0,0,16,16
3,5,2,2,0.0,0,0,0.0,0.0,0.0,3.327852,3.327852,3.327852,0,0,255,255,18,0,6,0.45,0.0,0,0,16,16
29,5,2,2,60.0,0,0,0.0,0.0,0.0,3.556673,3.556673,3.556673,255,0,0,255,18,0,6,0.45,0.0,0,0,16,16
30,5,29,3,21.25,0,0,0.0,0.0,0.0,0.527167,0.527167,0.527167,120,0,120,255,11,0,3,0.08,0.0,0,0,16,16
51,5,29,3,205.0,0,0,0.0,0.0,0.0,0.461833,0.461833,0.461833,80,80,80,255,11,0,3,0.08,0.0,0,0,16,16
52,5,29,3,213.75,0,0,0.0,0.0,0.0,0.508333,0.508333,0.508333,120,0,120,255,11,0,3,0.08,0.0,0,0,16,16
55,5,2,2,120.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,204,102,0,255,18,0,6,0.45,0.0,0,0,16,16
81,5,2,2,180.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,255,255,0,255,18,0,6,0.45,0.0,0,0,16,16
107,5,2,2,240.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,255,153,0,255,18,0,6,0.45,0.0,0,0,16,16
133,5,2,2,300.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,255,255,255,255,18,0,6,0.45,0.0,0,0,16,16
159,5,0,0,-86.074081,10.671037,2,0.0,0.0,0.0,0.25,0.25,0.25,127,127,127,255,2,0,5,0.1,0.0,0,0,16,16
160,5,159,1,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,127,127,127,155,7,0,3,0.06,0.0,0,0,16,16
161,5,160,2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,255,255,18,0,6,0.45,0.0,0,0,16,16
187,5,160,2,60.0,0,0,0.0,0.0,0.0,3.93702,3.93702,3.93702,255,0,0,255,18,0,6,0.45,0.0,0,0,16,16
213,5,160,2,120.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,204,102,0,255,18,0,6,0.45,0.0,0,0,16,16
239,5,160,2,180.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,255,255,0,255,18,0,6,0.45,0.0,0,0,16,16
265,5,160,2,240.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,255,153,0,255,18,0,6,0.45,0.0,0,0,16,16
291,5,160,2,300.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,255,255,255,255,18,0,6,0.45,0.0,0,0,16,16
317,5,0,0,180.0,-180.0,2,0.0,0.0,0.0,0.25,0.25,0.25,127,127,127,255,2,0,5,0.1,0.0,0,0,16,16
318,5,317,1,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,127,127,127,155,7,0,3,0.06,0.0,0,0,16,16
319,5,318,2,0.0,0,0,0.0,0.0,0.0,6.839384,6.839384,6.839384,0,0,255,255,18,0,6,0.45,0.0,0,0,16,16
320,5,319,3,21.25,0,0,0.0,0.0,0.0,0.474833,0.474833,0.474833,120,0,120,255,11,0,3,0.08,0.0,0,0,16,16
322,5,319,3,38.75,0,0,0.0,0.0,0.0,0.453667,0.453667,0.453667,120,0,120,255,11,0,3,0.08,0.0,0,0,16,16
342,5,319,3,213.75,0,0,0.0,0.0,0.0,0.481833,0.481833,0.481833,120,0,120,255,11,0,3,0.08,0.0,0,0,16,16
345,5,318,2,60.0,0,0,0.0,0.0,0.0,6.810379,6.810379,6.810379,255,0,0,255,18,0,6,0.45,0.0,0,0,16,16
346,5,345,3,21.25,0,0,0.0,0.0,0.0,0.508167,0.508167,0.508167,120,0,120,255,11,0,3,0.08,0.0,0,0,16,16
348,5,345,3,38.75,0,0,0.0,0.0,0.0,0.474333,0.474333,0.474333,120,0,120,255,11,0,3,0.08,0.0,0,0,16,16
368,5,345,3,213.75,0,0,0.0,0.0,0.0,0.499333,0.499333,0.499333,120,0,120,255,11,0,3,0.08,0.0,0,0,16,16
371,5,318,2,120.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,204,102,0,255,18,0,6,0.45,0.0,0,0,16,16
397,5,318,2,180.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,255,255,0,255,18,0,6,0.45,0.0,0,0,16,16
423,5,318,2,240.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,255,153,0,255,18,0,6,0.45,0.0,0,0,16,16
449,5,318,2,300.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,255,255,255,255,18,0,6,0.45,0.0,0,0,16,16
475,5,0,0,-103.411648,55.167178,2,0.0,0.0,0.0,0.25,0.25,0.25,127,127,127,255,2,0,5,0.1,0.0,0,0,16,16
476,5,475,1,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,127,127,127,155,7,0,3,0.06,0.0,0,0,16,16
477,5,476,2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,255,255,18,0,6,0.45,0.0,0,0,16,16
503,5,476,2,60.0,0,0,0.0,0.0,0.0,0.29684,0.29684,0.29684,255,0,0,255,18,0,6,0.45,0.0,0,0,16,16
529,5,476,2,120.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,204,102,0,255,18,0,6,0.45,0.0,0,0,16,16
555,5,476,2,180.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,255,255,0,255,18,0,6,0.45,0.0,0,0,16,16
581,5,476,2,240.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,255,153,0,255,18,0,6,0.45,0.0,0,0,16,16
607,5,476,2,300.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,255,255,255,255,18,0,6,0.45,0.0,0,0,16,16
633,5,0,0,3.38776,-67.747066,2,0.0,0.0,0.0,0.25,0.25,0.25,127,127,127,255,2,0,5,0.1,0.0,0,0,16,16
634,5,633,1,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,127,127,127,155,7,0,3,0.06,0.0,0,0,16,16
635,5,634,2,0.0,0,0,0.0,0.0,0.0,5.888878,5.888878,5.888878,0,0,255,255,18,0,6,0.45,0.0,0,0,16,16
636,5,635,3,21.25,0,0,0.0,0.0,0.0,0.549333,0.549333,0.549333,0,215,215,255,11,0,3,0.08,0.0,0,0,16,16
638,5,635,3,38.75,0,0,0.0,0.0,0.0,0.506833,0.506833,0.506833,120,0,120,255,11,0,3,0.08,0.0,0,0,16,16
657,5,635,3,205.0,0,0,0.0,0.0,0.0,0.473,0.473,0.473,120,0,120,255,11,0,3,0.08,0.0,0,0,16,16
658,5,635,3,213.75,0,0,0.0,0.0,0.0,0.545167,0.545167,0.545167,0,215,215,255,11,0,3,0.08,0.0,0,0,16,16
661,5,634,2,60.0,0,0,0.0,0.0,0.0,6.946416,6.946416,6.946416,255,0,0,255,18,0,6,0.45,0.0,0,0,16,16
662,5,661,3,21.25,0,0,0.0,0.0,0.0,0.574333,0.574333,0.574333,0,255,255,255,11,0,3,0.08,0.0,0,0,16,16
664,5,661,3,38.75,0,0,0.0,0.0,0.0,0.494667,0.494667,0.494667,120,0,120,255,11,0,3,0.08,0.0,0,0,16,16
666,5,661,3,56.25,0,0,0.0,0.0,0.0,0.553833,0.553833,0.553833,0,215,215,255,11,0,3,0.08,0.0,0,0,16,16
683,5,661,3,205.0,0,0,0.0,0.0,0.0,0.472833,0.472833,0.472833,120,0,120,255,11,0,3,0.08,0.0,0,0,16,16
684,5,661,3,213.75,0,0,0.0,0.0,0.0,0.546,0.546,0.546,0,215,215,255,11,0,3,0.08,0.0,0,0,16,16
687,5,634,2,120.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,204,102,0,255,18,0,6,0.45,0.0,0,0,16,16
713,5,634,2,180.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,255,255,0,255,18,0,6,0.45,0.0,0,0,16,16
739,5,634,2,240.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,255,153,0,255,18,0,6,0.45,0.0,0,0,16,16
765,5,634,2,300.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,255,255,255,255,18,0,6,0.45,0.0,0,0,16,16
791,5,0,0,-103.411648,55.167178,2,0.0,0.0,0.0,0.25,0.25,0.25,127,127,127,255,2,0,5,0.1,0.0,0,0,16,16
792,5,791,1,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,127,127,127,155,7,0,3,0.06,0.0,0,0,16,16
793,5,792,2,0.0,0,0,0.0,0.0,0.0,3.202811,3.202811,3.202811,0,0,255,255,18,0,6,0.45,0.0,0,0,16,16
819,5,792,2,60.0,0,0,0.0,0.0,0.0,3.387558,3.387558,3.387558,255,0,0,255,18,0,6,0.45,0.0,0,0,16,16
820,5,819,3,21.25,0,0,0.0,0.0,0.0,0.629833,0.629833,0.629833,0,255,0,255,11,0,3,0.08,0.0,0,0,16,16
822,5,819,3,38.75,0,0,0.0,0.0,0.0,0.5545,0.5545,0.5545,0,215,215,255,11,0,3,0.08,0.0,0,0,16,16
842,5,819,3,213.75,0,0,0.0,0.0,0.0,0.5965,0.5965,0.5965,0,215,50,255,11,0,3,0.08,0.0,0,0,16,16
845,5,792,2,120.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,204,102,0,255,18,0,6,0.45,0.0,0,0,16,16
871,5,792,2,180.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,255,255,0,255,18,0,6,0.45,0.0,0,0,16,16
897,5,792,2,240.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,255,153,0,255,18,0,6,0.45,0.0,0,0,16,16
923,5,792,2,300.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,255,255,255,255,18,0,6,0.45,0.0,0,0,16,16
949,5,0,0,-103.411648,116.920376,2,0.0,0.0,0.0,0.25,0.25,0.25,127,127,127,255,2,0,5,0.1,0.0,0,0,16,16
950,5,949,1,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,127,127,127,155,7,0,3,0.06,0.0,0,0,16,16
951,5,950,2,0.0,0,0,0.0,0.0,0.0,6.207379,6.207379,6.207379,0,0,255,255,18,0,6,0.45,0.0,0,0,16,16
952,5,951,3,21.25,0,0,0.0,0.0,0.0,0.531667,0.531667,0.531667,120,0,120,255,11,0,3,0.08,0.0,0,0,16,16
954,5,951,3,38.75,0,0,0.0,0.0,0.0,0.478,0.478,0.478,80,80,80,255,11,0,3,0.08,0.0,0,0,16,16
973,5,951,3,205.0,0,0,0.0,0.0,0.0,0.4755,0.4755,0.4755,120,0,120,255,11,0,3,0.08,0.0,0,0,16,16
974,5,951,3,213.75,0,0,0.0,0.0,0.0,0.524167,0.524167,0.524167,0,215,215,255,11,0,3,0.08,0.0,0,0,16,16
977,5,950,2,60.0,0,0,0.0,0.0,0.0,6.359438,6.359438,6.359438,255,0,0,255,18,0,6,0.45,0.0,0,0,16,16
978,5,977,3,21.25,0,0,0.0,0.0,0.0,0.534,0.534,0.534,0,215,215,255,11,0,3,0.08,0.0,0,0,16,16
980,5,977,3,38.75,0,0,0.0,0.0,0.0,0.438,0.438,0.438,120,0,120,255,11,0,3,0.08,0.0,0,0,16,16
