id,type,parent_id,branch_level,translate_x,translate_y,translate_z,rotate_x,rotate_y,rotate_z,scale_x,scale_y,scale_z,color_r,color_g,color_b,color_a,geometry,hide,topo,ratio,texture_id,ch_input_id
1,5,0,0,-11.176,-49.39,0.0,0.0,0.0,0.0,84.0,84.0,84.0,200,200,200,255,21,0,8,0.1,1,0
2,5,0,0,-113.8142,-20.7131,2.0,0.0,0.0,0.0,1.0,1.0,1.0,188,229,34,255,24,0,0,0.1,0,2
3,5,0,0,-72.8975,-33.2329,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,115,34,255,24,0,0,0.1,0,3
4,5,0,0,-114.5077,-22.4896,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,173,34,255,24,0,0,0.1,0,4
5,5,0,0,37.3694,128.3405,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,120,34,255,24,0,0,0.1,0,5
6,5,0,0,-77.0585,-32.3024,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,177,34,255,24,0,0,0.1,0,6
7,5,0,0,-77.0585,-32.3024,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,65,34,255,24,0,0,0.1,0,7
8,5,0,0,-65.9625,-34.2481,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,40,34,255,24,0,0,0.1,0,8
9,5,0,0,-65.9625,-34.2481,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,56,34,255,24,0,0,0.1,0,9
10,5,0,0,-65.9625,-34.2481,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,73,34,255,24,0,0,0.1,0,10
11,5,0,0,-74.2845,33.8496,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,80,34,255,24,0,0,0.1,0,11
12,5,0,0,-74.2845,33.8496,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,111,34,255,24,0,0,0.1,0,12
13,5,0,0,-74.2845,33.8496,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,83,34,255,24,0,0,0.1,0,13
14,5,0,0,-74.2845,33.8496,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,97,34,255,24,0,0,0.1,0,14
15,5,0,0,-13.9498,1.1966,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,70,34,255,24,0,0,0.1,0,15
16,5,0,0,-13.9498,1.1966,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,91,34,255,24,0,0,0.1,0,16
17,5,0,0,-13.9498,1.1966,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,65,34,255,24,0,0,0.1,0,17
18,5,0,0,-13.9498,1.1966,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,69,34,255,24,0,0,0.1,0,18
19,5,0,0,-65.9625,-34.4173,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,71,34,255,24,0,0,0.1,0,19
20,5,0,0,-79.8326,36.9796,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,115,34,255,24,0,0,0.1,0,20
21,5,0,0,-113.8142,-20.7131,2.0,0.0,0.0,0.0,1.0,1.0,1.0,186,229,34,255,24,0,0,0.1,0,21
22,5,0,0,-48.6249,-35.2632,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,152,34,255,24,0,0,0.1,0,22
23,5,0,0,180.0,180.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,109,34,255,24,0,0,0.1,0,23
24,5,0,0,-39.6094,-10.6465,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,130,34,255,24,0,0,0.1,0,24
25,5,0,0,-25.0458,-5.7401,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,139,34,255,24,0,0,0.1,0,25
26,5,0,0,-13.9498,1.1966,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,68,34,255,24,0,0,0.1,0,26
27,5,0,0,-113.8142,-20.7131,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,158,34,255,24,0,0,0.1,0,27
28,5,0,0,-27.8199,-37.1242,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,65,34,255,24,0,0,0.1,0,28
29,5,0,0,-54.173,-36.9551,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,116,34,255,24,0,0,0.1,0,29
30,5,0,0,-54.173,-36.9551,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,153,34,255,24,0,0,0.1,0,30
31,5,0,0,11.0163,43.4933,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,217,34,255,24,0,0,0.1,0,31
32,5,0,0,-52.0925,1.1966,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,142,34,255,24,0,0,0.1,0,32
33,5,0,0,-52.0925,-33.5713,2.0,0.0,0.0,0.0,1.0,1.0,1.0,217,229,34,255,24,0,0,0.1,0,33
34,5,0,0,-52.786,-41.4385,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,96,34,255,24,0,0,0.1,0,34
35,5,0,0,-26.4329,-47.2755,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,74,34,255,24,0,0,0.1,0,35
36,5,0,0,-46.5444,-52.2665,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,136,34,255,24,0,0,0.1,0,36
37,5,0,0,-34.0614,-15.0454,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,178,34,255,24,0,0,0.1,0,37
38,5,0,0,-38.9159,-8.3625,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,218,34,255,24,0,0,0.1,0,38
39,5,0,0,-38.2224,-8.7009,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,65,34,255,24,0,0,0.1,0,39
40,5,0,0,-83.3001,65.6568,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,200,34,255,24,0,0,0.1,0,40
41,5,0,0,-23.6588,-36.3629,2.0,0.0,0.0,0.0,1.0,1.0,1.0,209,229,34,255,24,0,0,0.1,0,41
