id,table_id,record_id,title
0,0,2,High Tech Middle: 61.2% (2004) -> 61.3% (2012)
1,0,3,KIPP Adelante: 21.0% (2004) -> 59.1% (2012)
2,0,4,High Tech High International: 35.9% (2005) -> 43.4% (2012)
3,0,5,Learning Choice Academy: 22.4% (2005) -> 38.3% (2012)
4,0,6,San Diego International Studi: 37.0% (2005) -> 63.8% (2012)
5,0,7,San Diego LEADS: 8.1% (2005) -> 18.1% (2012)
6,0,8,San Diego CIMA: 1.7% (2005) -> 7.7% (2012)
7,0,9,San Diego Business: 5.8% (2005) -> 24.3% (2012)
8,0,10,San Diego MVP Arts: 10.1% (2005) -> 20.9% (2012)
9,0,11,Kearny Digital Media & Design: 11.9% (2005) -> 54.7% (2012)
10,0,12,Kearny SCT: 19.9% (2005) -> 44.4% (2012)
11,0,13,Kearny International Business: 12.6% (2005) -> 66.4% (2012)
12,0,14,Kearny Construction Tech: 16.2% (2005) -> 25.4% (2012)
13,0,15,Crawford Multimedia and Visua: 9.5% (2005) -> 23.3% (2012)
14,0,16,Crawford CHAMPS: 14.9% (2005) -> 34.9% (2012)
15,0,17,Crawford Law and Business: 7.9% (2005) -> 20.9% (2012)
16,0,18,Crawford IDEA: 9.0% (2005) -> 20.6% (2012)
17,0,19,San Diego Science and Technol: 9.7% (2005) -> 35.8% (2012)
18,0,20,San Diego Metro Career and Te: 20.9% (2005) -> 31.5% (2012)
19,0,21,High Tech Middle Media Arts: 61.6% (2006) -> 63.9% (2012)
20,0,22,Golden Hill Elementary: 30.5% (2007) -> 46.6% (2012)
21,0,23,Porter Elementary: 19.5% (2006) -> 40.7% (2012)
22,0,24,Cherokee Point Elementary: 24.8% (2006) -> 39.3% (2012)
23,0,25,Ibarra Elementary: 27.3% (2006) -> 43.7% (2012)
24,0,26,Iftin Charter: 8.9% (2007) -> 48.0% (2012)
25,0,27,High Tech High Media Arts: 32.2% (2006) -> 43.6% (2012)
26,0,28,Gompers Charter Middle: 8.0% (2006) -> 22.5% (2010)
27,0,29,King-Chavez Arts Academy: 21.2% (2006) -> 55.6% (2012)
28,0,30,King-Chavez Athletics Academy: 30.8% (2006) -> 49.8% (2012)
29,0,31,Magnolia Science Academy San: 47.4% (2006) -> 68.7% (2012)
30,0,32,Normal Heights Elementary: 27.9% (2007) -> 57.9% (2012)
31,0,33,Albert Einstein Academy Middle: 53.6% (2007) -> 68.6% (2012)
32,0,34,King-Chavez Preparatory Acade: 15.9% (2007) -> 33.1% (2012)
33,0,35,Lincoln High: 10.4% (2008) -> 18.5% (2012)
34,0,36,Rodriguez Elementary: 26.4% (2008) -> 31.1% (2012)
35,0,37,Joyner Elementary: 37.3% (2008) -> 47.0% (2012)
36,0,38,Health Sciences High: 47.5% (2008) -> 48.4% (2012)
37,0,39,Arroyo Paseo Charter High: 8.1% (2008) -> 22.4% (2012)
38,0,40,Innovation Middle: 42.9% (2009) -> 62.1% (2012)
39,0,41,Millennial Tech Middle: 55.6% (2009) -> 54.6% (2012)
40,0,42,Memorial Scholars & Athletes: 10.6% (2009) -> 28.3% (2012)
41,0,43,Urban Discovery Academy Chart: 23.6% (2010) -> 55.9% (2012)
42,0,44,Innovations Academy: 5.7% (2009) -> 41.0% (2012)
43,0,45,San Diego Early/Middle College: 42.8% (2009) -> 36.6% (2012)
44,0,46,King-Chavez Community High: 23.3% (2010) -> 25.4% (2012)
45,0,47,Gompers Preparatory Academy: 14.6% (2010) -> 26.6% (2012)
46,0,48,iHigh Virtual Academy: 17.0% (2010) -> 14.8% (2012)
47,0,49,John Muir: 12.7% (2003) -> 44.3% (2012)
48,0,50,Serra High: 24.2% (2003) -> 44.0% (2012)
49,0,51,Mira Mesa High: 29.4% (2003) -> 61.7% (2012)
50,0,52,Twain High: 7.4% (2003) -> 10.7% (2012)
51,0,53,University City High: 32.9% (2003) -> 55.5% (2012)
52,0,54,Whittier/Del Sol Academy: 4.1% (2006) -> 0.5% (2010)
53,0,55,San Diego SCPA: 28.5% (2003) -> 55.6% (2012)
54,0,56,Mt. Everest Academy: 34.0% (2003) -> 16.5% (2012)
55,0,57,Scripps Ranch High: 43.3% (2003) -> 72.2% (2012)
56,0,58,Charter School of SD: 13.9% (2003) -> 19.0% (2012)
57,0,59,ALBA: 2.6% (2003) -> 0.7% (2010)
58,0,60,Preuss School UCSD: 50.0% (2003) -> 68.0% (2012)
59,0,61,Clairemont High: 19.6% (2003) -> 34.8% (2012)
60,0,62,High Tech High: 45.9% (2003) -> 47.1% (2012)
61,0,63,Audeo Charter: 8.8% (2003) -> 18.7% (2012)
62,0,64,Creative; Performing; and Med: 28.0% (2003) -> 51.8% (2012)
63,0,65,Henry High: 32.4% (2003) -> 52.0% (2012)
64,0,66,Hoover High: 8.0% (2003) -> 23.2% (2012)
65,0,67,La Jolla High: 54.0% (2003) -> 63.2% (2012)
66,0,68,Madison High: 13.9% (2003) -> 37.8% (2012)
67,0,69,Mission Bay High: 17.1% (2003) -> 29.1% (2012)
68,0,70,Morse High: 22.1% (2003) -> 34.6% (2012)
69,0,71,Point Loma High: 25.5% (2003) -> 51.5% (2012)
70,0,72,Garfield High: 7.6% (2003) -> 7.0% (2012)
71,0,73,Adams Elementary: 25.2% (2003) -> 57.2% (2012)
72,0,74,Alcott Elementary: 45.3% (2003) -> 71.9% (2012)
73,0,75,Angier Elementary: 38.6% (2003) -> 74.3% (2012)
74,0,76,Audubon Elementary: 24.6% (2003) -> 39.0% (2012)
75,0,77,Baker Elementary: 21.6% (2003) -> 60.6% (2012)
76,0,78,Balboa Elementary: 14.0% (2003) -> 45.9% (2012)
77,0,79,Barnard Elementary: 20.6% (2003) -> 67.2% (2012)
78,0,80,Bay Park Elementary: 53.5% (2003) -> 74.1% (2012)
79,0,81,Bayview Terrace Elementary: 28.8% (2003) -> 48.1% (2012)
80,0,82,Bird Rock Elementary: 77.3% (2003) -> 93.2% (2012)
81,0,83,Birney Elementary: 22.4% (2003) -> 74.8% (2012)
82,0,84,Boone Elementary: 46.3% (2003) -> 60.0% (2012)
83,0,85,Burbank Elementary: 33.5% (2003) -> 42.0% (2012)
84,0,86,Cabrillo Elementary: 53.7% (2003) -> 63.3% (2012)
85,0,87,Cadman Elementary: 38.1% (2003) -> 42.0% (2012)
86,0,88,Carson Elementary: 31.2% (2003) -> 56.8% (2012)
87,0,89,Carver Elementary: 27.1% (2003) -> 35.6% (2012)
88,0,90,Central Elementary: 33.6% (2003) -> 53.2% (2012)
89,0,91,Chesterton Elementary: 49.8% (2003) -> 73.2% (2012)
90,0,92,Chollas/Mead Elementary: 23.0% (2003) -> 49.0% (2012)
91,0,93,Clay Elementary: 39.3% (2003) -> 59.0% (2012)
92,0,94,Crown Point Elementary: 25.6% (2003) -> 70.0% (2012)
93,0,95,Cubberley Elementary: 48.1% (2003) -> 49.3% (2012)
94,0,96,Curie Elementary: 79.9% (2003) -> 88.6% (2012)
95,0,97,Darnall E-Charter: 25.4% (2003) -> 55.6% (2012)
96,0,98,Dewey Elementary: 54.4% (2003) -> 67.1% (2012)
97,0,99,Edison Elementary: 22.4% (2003) -> 70.4% (2012)
98,0,100,Emerson/Bandini Elementary: 16.0% (2003) -> 41.7% (2012)
99,0,101,Encanto Elementary: 19.5% (2003) -> 55.3% (2012)
100,0,102,Euclid Elementary: 17.4% (2003) -> 51.4% (2012)
101,0,103,Field Elementary: 39.7% (2003) -> 52.3% (2012)
102,0,104,Fletcher Elementary: 51.8% (2003) -> 72.2% (2012)
103,0,105,Florence Elementary: 45.6% (2003) -> 66.6% (2012)
104,0,106,Foster Elementary: 42.4% (2003) -> 64.5% (2012)
105,0,107,Franklin Elementary: 38.6% (2003) -> 57.0% (2012)
106,0,108,Freese Elementary: 32.6% (2003) -> 48.9% (2012)
107,0,109,Fulton Elementary: 26.1% (2003) -> 37.7% (2012)
108,0,110,Gage Elementary: 45.8% (2003) -> 60.8% (2012)
109,0,111,Garfield Elementary: 20.0% (2003) -> 64.8% (2012)
110,0,112,Grant Elementary: 52.8% (2003) -> 78.6% (2012)
111,0,113,Green Elementary: 58.5% (2003) -> 86.5% (2012)
112,0,114,Hamilton Elementary: 28.1% (2003) -> 56.4% (2012)
113,0,115,Hardy Elementary: 61.9% (2003) -> 78.4% (2012)
114,0,116,Hawthorne Elementary: 47.1% (2003) -> 55.6% (2012)
115,0,117,Hearst Elementary: 70.0% (2003) -> 88.0% (2012)
116,0,118,Holmes Elementary: 59.6% (2003) -> 79.5% (2012)
117,0,119,Horton Elementary: 20.6% (2003) -> 45.2% (2012)
118,0,120,Fay Elementary: 18.9% (2003) -> 50.1% (2012)
119,0,121,Jefferson Elementary: 35.4% (2003) -> 54.5% (2012)
120,0,122,Johnson Elementary: 33.7% (2003) -> 55.8% (2012)
121,0,123,Jones Elementary: 45.3% (2003) -> 82.9% (2012)
122,0,124,Juarez Elementary: 40.3% (2003) -> 54.4% (2012)
123,0,125,Keiller Leadership Academy: 12.5% (2003) -> 41.3% (2012)
124,0,126,Knox Elementary: 16.0% (2003) -> 40.0% (2011)
125,0,127,La Jolla Elementary: 68.1% (2003) -> 94.5% (2012)
126,0,128,Lafayette Elementary: 42.4% (2003) -> 54.3% (2012)
127,0,129,Lee Elementary: 44.0% (2003) -> 57.1% (2012)
128,0,130,Linda Vista Elementary: 25.2% (2003) -> 44.2% (2012)
129,0,131,Lindbergh/Schweitzer Elementa: 36.8% (2003) -> 70.3% (2012)
130,0,132,Logan Elementary: 14.4% (2003) -> 41.8% (2012)
131,0,133,Loma Portal Elementary: 56.7% (2003) -> 82.9% (2012)
132,0,134,Longfellow: 40.6% (2003) -> 69.9% (2012)
133,0,135,Perkins Elementary: 19.7% (2003) -> 43.2% (2012)
134,0,136,Marshall Elementary: 17.2% (2003) -> 36.8% (2012)
135,0,137,Marvin Elementary: 54.0% (2003) -> 79.4% (2012)
136,0,138,McKinley Elementary: 34.9% (2003) -> 71.9% (2012)
137,0,139,Language Academy: 37.3% (2003) -> 65.5% (2012)
138,0,140,Harriet Tubman Village: 21.2% (2003) -> 50.9% (2012)
139,0,141,Oak Park Elementary: 34.3% (2003) -> 51.2% (2012)
140,0,142,Ocean Beach Elementary: 40.6% (2003) -> 78.9% (2012)
141,0,143,Pacific Beach Elementary: 49.5% (2003) -> 81.4% (2012)
142,0,144,Paradise Hills Elementary: 37.5% (2003) -> 70.2% (2012)
143,0,145,Perry Elementary: 53.2% (2003) -> 80.8% (2012)
144,0,146,Riley/New Dawn: 1.2% (2003) -> 7.4% (2012)
145,0,147,Rolando Park Elementary: 30.6% (2003) -> 43.8% (2012)
146,0,148,Ross Elementary: 50.4% (2003) -> 60.6% (2012)
147,0,149,Rowan Elementary: 21.3% (2003) -> 53.8% (2012)
148,0,150,Sequoia Elementary: 49.7% (2003) -> 60.7% (2012)
149,0,151,Sessions Elementary: 60.6% (2003) -> 91.1% (2012)
150,0,152,Sherman Elementary: 16.0% (2003) -> 52.0% (2012)
151,0,153,Silver Gate Elementary: 58.4% (2003) -> 84.8% (2012)
152,0,154,Spreckels Elementary: 49.9% (2003) -> 75.4% (2012)
153,0,155,King-Chavez Primary Academy: 13.2% (2003) -> 76.3% (2012)
154,0,156,Sunset View Elementary: 68.3% (2003) -> 88.4% (2012)
155,0,157,Toler Elementary: 44.0% (2003) -> 71.0% (2012)
156,0,158,Torrey Pines Elementary: 66.7% (2003) -> 97.0% (2012)
157,0,159,Valencia Park Elementary: 36.1% (2003) -> 56.7% (2012)
158,0,160,Washington Elementary: 18.2% (2003) -> 44.0% (2012)
159,0,161,Webster Elementary: 20.4% (2003) -> 51.8% (2012)
160,0,162,Wegeforth Elementary: 41.5% (2003) -> 69.3% (2012)
161,0,163,Benchley/Weinberger Elementar: 78.3% (2003) -> 88.6% (2012)
162,0,164,Whitman Elementary: 46.9% (2003) -> 53.7% (2012)
163,0,165,Bell Middle: 21.3% (2003) -> 43.2% (2012)
164,0,166,Correia Middle: 30.3% (2003) -> 74.2% (2012)
165,0,167,Dana: 47.6% (2003) -> 72.0% (2012)
166,0,168,Lewis Middle: 45.2% (2003) -> 76.6% (2012)
167,0,169,Mann Middle: 12.3% (2003) -> 46.4% (2012)
168,0,170,Marston Middle: 28.2% (2003) -> 58.9% (2012)
169,0,171,Montgomery Middle: 17.6% (2003) -> 45.1% (2012)
170,0,172,Muirlands Middle: 56.3% (2003) -> 78.7% (2012)
171,0,173,Pacific Beach Middle: 22.5% (2003) -> 59.8% (2012)
172,0,174,Roosevelt International Middl: 15.7% (2003) -> 54.2% (2012)
173,0,175,Taft Middle: 24.7% (2003) -> 49.5% (2012)
174,0,176,O'Farrell Community Center fo: 20.0% (2003) -> 56.6% (2012)
175,0,177,Pershing Middle: 36.2% (2003) -> 71.5% (2012)
176,0,178,Wilson Middle: 12.5% (2003) -> 33.6% (2012)
177,0,179,Miramar Ranch Elementary: 64.3% (2003) -> 85.0% (2012)
178,0,180,Mason Elementary: 53.1% (2003) -> 73.1% (2012)
179,0,181,Penn Elementary: 39.5% (2003) -> 56.6% (2012)
180,0,182,Ericson Elementary: 59.6% (2003) -> 78.3% (2012)
181,0,183,Hickman Elementary: 55.5% (2003) -> 75.7% (2012)
182,0,184,Sandburg Elementary: 60.1% (2003) -> 84.5% (2012)
183,0,185,Tierrasanta Elementary: 68.7% (2003) -> 80.4% (2012)
184,0,186,Walker Elementary: 47.7% (2003) -> 60.5% (2012)
185,0,187,Miller Elementary: 39.9% (2003) -> 59.1% (2012)
186,0,188,Hancock Elementary: 34.5% (2003) -> 66.8% (2012)
187,0,189,Standley Middle: 51.8% (2003) -> 81.8% (2012)
188,0,190,Dailard Elementary: 68.7% (2003) -> 83.1% (2012)
189,0,191,Wangenheim Middle: 36.8% (2003) -> 67.0% (2012)
190,0,192,Doyle Elementary: 61.2% (2003) -> 79.6% (2012)
191,0,193,Farb Middle: 28.6% (2003) -> 50.8% (2012)
192,0,194,Jerabek Elementary: 76.2% (2003) -> 86.4% (2012)
193,0,195,Vista Grande Elementary: 52.8% (2003) -> 82.6% (2012)
194,0,196,Bethune Elementary: 52.8% (2003) -> 58.1% (2012)
195,0,197,De Portola Middle: 44.1% (2003) -> 72.4% (2012)
196,0,198,Zamorano Elementary: 38.4% (2003) -> 67.5% (2012)
197,0,199,Challenger Middle: 38.5% (2003) -> 78.2% (2012)
198,0,200,Hage Elementary: 62.0% (2003) -> 71.1% (2012)
199,0,201,Kumeyaay Elementary: 68.3% (2003) -> 84.9% (2012)
200,0,202,Nye Elementary: 40.2% (2003) -> 66.6% (2012)
201,0,203,Dingeman Elementary: 79.9% (2003) -> 92.0% (2012)
202,0,204,Chancellor William McGill Sch: 18.2% (2007) -> 18.4% (2012)
203,0,205,Clark Middle: 16.9% (2003) -> 42.2% (2012)
204,0,206,Kimbrough Elementary: 18.6% (2003) -> 57.5% (2012)
205,0,207,Chavez Elementary: 19.5% (2003) -> 40.4% (2012)
206,0,208,Rosa Parks Elementary: 23.9% (2003) -> 51.0% (2012)
207,0,209,Nubia Leadership Academy: 28.1% (2003) -> 29.9% (2012)
208,0,210,Marshall Middle: 62.8% (2003) -> 83.4% (2012)
209,0,211,Museum: 17.6% (2003) -> 53.1% (2012)
210,0,212,Holly Drive Leadership Academy: 3.4% (2003) -> 12.8% (2010)
211,0,213,Explorer Elementary: 61.7% (2003) -> 76.2% (2012)
212,0,214,Scripps Elementary: 77.1% (2003) -> 92.4% (2012)
213,0,215,San Diego Cooperative: 52.8% (2003) -> 50.6% (2012)
214,0,216,King-Chavez Academy Excellenc: 19.1% (2003) -> 45.2% (2012)
215,0,217,Einstein Academy: 48.2% (2004) -> 81.0% (2012)
216,0,218,Promise Charter: 19.0% (2003) -> 31.3% (2011)
