id,type,parent_id,branch_level,translate_x,translate_y,translate_z,rotate_x,rotate_y,rotate_z,scale_x,scale_y,scale_z,color_r,color_g,color_b,color_a,geometry,hide,topo,ratio,facet
1,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.6400000000000001,1.6400000000000001,1.6400000000000001,235,176,198,255,3,0,4,0.15,1
2,5,1,1,0.0,0.0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,115,17,17,255,3,0,0,0.1,1
3,5,1,1,27.6923,0.0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,230,124,34,255,3,0,0,0.1,1
4,5,1,1,83.0769,0.0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,77,115,17,255,3,0,0,0.1,1
5,5,1,1,110.7692,0.0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,32,115,17,255,3,0,0,0.1,1
6,5,1,1,166.1538,0.0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,25,166,133,255,3,0,0,0.1,1
7,5,1,1,193.8462,0.0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,34,184,230,255,3,0,0,0.1,1
8,5,1,1,221.5385,0.0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,17,47,115,255,3,0,0,0.1,1
9,5,1,1,276.9231,0.0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,77,17,115,255,3,0,0,0.1,1
10,5,1,1,304.6154,0.0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,115,17,107,255,3,0,0,0.1,1
11,5,1,1,332.3077,0.0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,230,34,124,255,3,0,0,0.1,1
12,5,1,1,0.0,0.0,2.6,0.0,0.0,0.0,1.0,1.0,1.0,200,200,200,110,6,0,0,0.12,1
