cyclecount,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53
0,77.61197,72.46746,21.64706,0.0,0.12782,105.0,3.65854,210.0,30.0,80.21545,71.68465,21.64706,0.0,0.09328,105.0,20.4878,210.0,30.0,81.91301,71.8537,21.64706,0.0,0.07601,105.0,14.26829,210.0,30.0,59.42305,70.86749,21.64706,0.0,1.05187,105.0,12.07317,210.0,30.0,77.55629,71.98287,21.64706,0.0,0.11919,105.0,9.87805,210.0,30.0,91.62385,69.85255,21.64706,0.0,0.58553,105.0,4.39024,210.0,30.0
1,76.80769,72.56891,21.17647,0.05559,0.13279,105.05559,3.65854,210.05559,30.0,79.62069,71.40165,21.64706,0.05559,0.1071,105.05559,20.4878,210.05559,28.38995,80.698,71.85447,21.64706,0.05559,0.1071,105.05559,14.26829,210.05559,30.0,58.81782,70.66967,21.64706,0.05559,1.06379,105.05559,12.07317,210.05559,30.0,77.10807,72.15538,21.64706,0.05559,0.11055,105.05559,9.87805,210.05559,30.0,90.86532,69.7437,21.64706,0.05559,0.55574,105.05559,4.39024,210.05559,30.0
2,75.95037,72.63075,21.17647,0.11117,0.13991,105.11117,3.65854,210.11117,17.47088,78.99591,71.49471,21.64706,0.11117,0.11227,105.11117,20.4878,210.11117,30.0,79.70183,71.93343,21.64706,0.11117,0.11919,105.11117,14.26829,210.11117,30.0,58.21258,70.47186,21.64706,0.11117,1.0757,105.11117,12.07317,210.11117,30.0,76.40414,72.21312,21.64706,0.11117,0.11055,105.11117,9.87805,210.11117,30.0,90.15415,69.73635,21.64706,0.11117,0.52335,105.11117,4.39024,210.11117,13.15278
3,74.99642,72.56394,21.17647,0.16676,0.16467,105.16676,3.65854,210.16676,6.289,78.30258,71.64372,21.64706,0.16676,0.11919,105.16676,20.4878,210.16676,28.31876,78.70565,72.01239,21.64706,0.16676,0.11919,105.16676,14.26829,210.16676,30.0,57.60631,70.2889,21.64706,0.16676,1.0909,105.16676,12.07317,210.16676,23.40799,75.60437,72.06329,21.64706,0.16676,0.11745,105.16676,8.41463,210.16676,9.24342,89.49749,70.28267,21.64706,0.16676,0.4819,105.16676,4.39024,210.16676,7.47511
4,74.09221,72.40702,21.64706,0.22235,0.19057,105.22235,3.65854,210.22235,5.74041,77.60579,71.89342,21.64706,0.22235,0.11574,105.22235,20.4878,210.22235,10.12892,77.54931,72.08446,21.64706,0.22235,0.11055,105.22235,14.26829,210.22235,12.88028,57.04642,69.96667,21.64706,0.22235,1.11266,105.22235,12.07317,210.22235,14.14867,74.63503,72.2198,21.64706,0.22235,0.13646,105.22235,7.68293,210.22235,6.59959,88.92268,70.91235,21.17647,0.22235,0.43124,105.22235,4.39024,210.22235,6.70287
5,73.23632,72.10275,21.64706,0.27793,0.22281,105.27793,3.65854,210.27793,5.84591,76.82605,71.96869,21.64706,0.27793,0.11055,105.27793,20.4878,210.27793,7.93695,76.3482,72.12967,21.64706,0.27793,0.11918,105.27793,14.26829,210.27793,2.95808,56.49559,69.62289,21.64706,0.27793,1.13822,105.27793,12.07317,210.27793,12.57575,74.08177,72.01057,21.64706,0.27793,0.15372,105.27793,7.68293,210.27793,12.47732,88.19095,71.39484,21.17647,0.27793,0.37828,105.27793,4.39024,210.27793,10.12733
6,72.42945,71.76093,21.64706,0.33352,0.26253,105.33352,3.65854,210.33352,6.70287,76.25493,72.24378,21.64706,0.33352,0.11055,105.33352,20.4878,210.33352,11.39139,74.75943,71.94818,21.64706,0.33352,0.15027,105.33352,14.26829,210.33352,3.20489,56.00999,69.22866,21.64706,0.33352,1.16378,105.33352,12.07317,210.33352,13.55497,73.42871,71.99583,21.64706,0.33352,0.17617,105.33352,5.12195,210.33352,13.76261,87.60307,71.8091,21.17647,0.33352,0.33855,105.33352,4.39024,210.33352,7.54276
7,71.50211,71.71657,21.64706,0.38911,0.30571,105.38911,3.65854,210.38911,7.67902,75.47285,71.98382,21.64706,0.38911,0.11919,105.38911,20.4878,210.38911,13.68958,73.7901,71.83792,21.64706,0.38911,0.18307,105.38911,14.26829,210.38911,1.06852,55.70622,68.69069,21.64706,0.38911,1.18762,105.38911,12.07317,210.38911,13.07379,72.8443,71.7179,21.64706,0.38911,0.20555,105.38911,5.85366,210.38911,9.71111,86.94808,72.10619,21.17647,0.38911,0.29158,105.38911,4.39024,210.38911,9.68313
8,70.49373,71.75664,21.64706,0.44469,0.35291,105.44469,3.65854,210.44469,5.23586,74.73078,71.90752,21.64706,0.44469,0.13646,105.44469,20.4878,210.44469,8.24815,72.8867,71.67624,21.64706,0.44469,0.22282,105.44469,14.26829,210.44469,4.53953,55.51953,68.10006,21.64706,0.44469,1.21283,105.44469,12.07317,210.44469,12.24486,72.21951,71.39072,21.64706,0.44469,0.23145,105.44469,5.85366,210.44469,14.96666,86.11695,72.38343,21.17647,0.44469,0.23666,105.44469,4.39024,210.44469,8.11425
9,69.543,71.34495,21.64706,0.50028,0.40761,105.50028,3.65854,210.50028,3.89385,73.92139,71.83108,21.64706,0.50028,0.1658,105.50028,20.4878,210.50028,8.64273,72.04583,71.25883,21.64706,0.50028,0.2608,105.50028,14.26829,210.50028,10.16793,55.18026,67.54007,21.64706,0.50028,1.24392,105.50028,12.07317,210.50028,15.63876,71.54753,71.2484,21.64706,0.50028,0.2608,105.50028,5.4878,210.50028,8.46807,85.24318,72.80121,20.70588,0.50028,0.17448,105.50028,4.39024,210.50028,8.11693
