id,type,parent_id,branch_level,translate_x,translate_y,translate_z,rotate_x,rotate_y,rotate_z,scale_x,scale_y,scale_z,color_r,color_g,color_b,color_a,geometry,hide,topo,ratio
1,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,209,84,31,255,22,0,17,0.1
2,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,31,123,209,255,22,0,17,0.1
3,5,1,1,0.0,0.0,32.9049,0.0,0.0,0.0,2.0,2.0,2.0,152,61,22,255,1,0,0,0.1
4,5,2,1,0.0,0.0,65.8757,0.0,0.0,0.0,2.0,2.0,2.0,30,120,202,255,1,0,0,0.1
5,5,1,1,8.0,0.0,27.5955,0.0,0.0,0.0,2.0,2.0,2.0,144,58,21,255,1,0,0,0.1
6,5,2,1,8.0,0.0,61.5994,0.0,0.0,0.0,2.0,2.0,2.0,29,116,196,255,1,0,0,0.1
7,5,1,1,16.0,0.0,26.6664,0.0,0.0,0.0,2.0,2.0,2.0,142,57,21,255,1,0,0,0.1
8,5,2,1,16.0,0.0,61.6447,0.0,0.0,0.0,2.0,2.0,2.0,29,116,196,255,1,0,0,0.1
9,5,1,1,24.0,0.0,19.5025,0.0,0.0,0.0,2.0,2.0,2.0,131,53,19,255,1,0,0,0.1
10,5,2,1,24.0,0.0,51.2972,0.0,0.0,0.0,2.0,2.0,2.0,27,106,180,255,1,0,0,0.1
11,5,1,1,32.0,0.0,20.8806,0.0,0.0,0.0,2.0,2.0,2.0,133,54,20,255,1,0,0,0.1
12,5,2,1,32.0,0.0,53.8935,0.0,0.0,0.0,2.0,2.0,2.0,27,109,184,255,1,0,0,0.1
13,5,1,1,40.0,0.0,17.7904,0.0,0.0,0.0,2.0,2.0,2.0,129,52,19,255,1,0,0,0.1
14,5,2,1,40.0,0.0,48.8664,0.0,0.0,0.0,2.0,2.0,2.0,26,104,176,255,1,0,0,0.1
15,5,1,1,48.0,0.0,13.2822,0.0,0.0,0.0,2.0,2.0,2.0,122,49,18,255,1,0,0,0.1
16,5,2,1,48.0,0.0,36.4948,0.0,0.0,0.0,2.0,2.0,2.0,23,93,157,255,1,0,0,0.1
17,5,1,1,56.0,0.0,10.7308,0.0,0.0,0.0,2.0,2.0,2.0,118,47,17,255,1,0,0,0.1
18,5,2,1,56.0,0.0,28.7582,0.0,0.0,0.0,2.0,2.0,2.0,21,86,146,255,1,0,0,0.1
19,5,1,1,64.0,0.0,12.0793,0.0,0.0,0.0,2.0,2.0,2.0,120,48,18,255,1,0,0,0.1
20,5,2,1,64.0,0.0,29.8503,0.0,0.0,0.0,2.0,2.0,2.0,22,87,147,255,1,0,0,0.1
21,5,1,1,72.0,0.0,14.0643,0.0,0.0,0.0,2.0,2.0,2.0,123,50,18,255,1,0,0,0.1
22,5,2,1,72.0,0.0,30.8325,0.0,0.0,0.0,2.0,2.0,2.0,22,88,149,255,1,0,0,0.1
23,5,1,1,0.0,8.0,33.8321,0.0,0.0,0.0,2.0,2.0,2.0,153,62,23,255,1,0,0,0.1
24,5,2,1,0.0,8.0,65.6968,0.0,0.0,0.0,2.0,2.0,2.0,30,119,202,255,1,0,0,0.1
25,5,1,1,8.0,8.0,31.1657,0.0,0.0,0.0,2.0,2.0,2.0,149,60,22,255,1,0,0,0.1
26,5,2,1,8.0,8.0,61.8395,0.0,0.0,0.0,2.0,2.0,2.0,29,116,196,255,1,0,0,0.1
27,5,1,1,16.0,8.0,30.1386,0.0,0.0,0.0,2.0,2.0,2.0,148,59,22,255,1,0,0,0.1
28,5,2,1,16.0,8.0,64.0027,0.0,0.0,0.0,2.0,2.0,2.0,29,118,199,255,1,0,0,0.1
29,5,1,1,24.0,8.0,19.7518,0.0,0.0,0.0,2.0,2.0,2.0,132,53,19,255,1,0,0,0.1
30,5,2,1,24.0,8.0,53.172,0.0,0.0,0.0,2.0,2.0,2.0,27,108,183,255,1,0,0,0.1
31,5,1,1,32.0,8.0,20.88,0.0,0.0,0.0,2.0,2.0,2.0,133,54,20,255,1,0,0,0.1
32,5,2,1,32.0,8.0,53.6968,0.0,0.0,0.0,2.0,2.0,2.0,27,109,184,255,1,0,0,0.1
33,5,1,1,40.0,8.0,21.6717,0.0,0.0,0.0,2.0,2.0,2.0,135,54,20,255,1,0,0,0.1
34,5,2,1,40.0,8.0,51.7922,0.0,0.0,0.0,2.0,2.0,2.0,27,107,181,255,1,0,0,0.1
35,5,1,1,48.0,8.0,14.6547,0.0,0.0,0.0,2.0,2.0,2.0,124,50,18,255,1,0,0,0.1
36,5,2,1,48.0,8.0,41.2058,0.0,0.0,0.0,2.0,2.0,2.0,24,97,165,255,1,0,0,0.1
37,5,1,1,56.0,8.0,10.6161,0.0,0.0,0.0,2.0,2.0,2.0,118,47,17,255,1,0,0,0.1
38,5,2,1,56.0,8.0,27.0159,0.0,0.0,0.0,2.0,2.0,2.0,21,84,143,255,1,0,0,0.1
39,5,1,1,64.0,8.0,11.2489,0.0,0.0,0.0,2.0,2.0,2.0,119,48,17,255,1,0,0,0.1
40,5,2,1,64.0,8.0,25.9678,0.0,0.0,0.0,2.0,2.0,2.0,21,83,141,255,1,0,0,0.1
41,5,1,1,72.0,8.0,15.8414,0.0,0.0,0.0,2.0,2.0,2.0,126,51,18,255,1,0,0,0.1
42,5,2,1,72.0,8.0,29.4804,0.0,0.0,0.0,2.0,2.0,2.0,22,87,147,255,1,0,0,0.1
43,5,1,1,0.0,16.0,41.2832,0.0,0.0,0.0,2.0,2.0,2.0,165,66,24,255,1,0,0,0.1
44,5,2,1,0.0,16.0,72.2137,0.0,0.0,0.0,2.0,2.0,2.0,31,125,212,255,1,0,0,0.1
45,5,1,1,8.0,16.0,33.9136,0.0,0.0,0.0,2.0,2.0,2.0,153,62,23,255,1,0,0,0.1
46,5,2,1,8.0,16.0,65.777,0.0,0.0,0.0,2.0,2.0,2.0,30,119,202,255,1,0,0,0.1
47,5,1,1,16.0,16.0,39.5203,0.0,0.0,0.0,2.0,2.0,2.0,162,65,24,255,1,0,0,0.1
48,5,2,1,16.0,16.0,70.4929,0.0,0.0,0.0,2.0,2.0,2.0,31,124,209,255,1,0,0,0.1
49,5,1,1,24.0,16.0,27.0669,0.0,0.0,0.0,2.0,2.0,2.0,143,58,21,255,1,0,0,0.1
50,5,2,1,24.0,16.0,59.7919,0.0,0.0,0.0,2.0,2.0,2.0,29,114,193,255,1,0,0,0.1
51,5,1,1,32.0,16.0,26.9793,0.0,0.0,0.0,2.0,2.0,2.0,143,58,21,255,1,0,0,0.1
52,5,2,1,32.0,16.0,61.1642,0.0,0.0,0.0,2.0,2.0,2.0,29,115,195,255,1,0,0,0.1
53,5,1,1,40.0,16.0,25.8831,0.0,0.0,0.0,2.0,2.0,2.0,141,57,21,255,1,0,0,0.1
54,5,2,1,40.0,16.0,58.4892,0.0,0.0,0.0,2.0,2.0,2.0,28,113,191,255,1,0,0,0.1
55,5,1,1,48.0,16.0,20.0782,0.0,0.0,0.0,2.0,2.0,2.0,132,53,19,255,1,0,0,0.1
56,5,2,1,48.0,16.0,49.6477,0.0,0.0,0.0,2.0,2.0,2.0,26,105,177,255,1,0,0,0.1
57,5,1,1,56.0,16.0,14.3875,0.0,0.0,0.0,2.0,2.0,2.0,124,50,18,255,1,0,0,0.1
58,5,2,1,56.0,16.0,35.6006,0.0,0.0,0.0,2.0,2.0,2.0,23,92,156,255,1,0,0,0.1
59,5,1,1,64.0,16.0,11.535,0.0,0.0,0.0,2.0,2.0,2.0,119,48,17,255,1,0,0,0.1
60,5,2,1,64.0,16.0,30.0018,0.0,0.0,0.0,2.0,2.0,2.0,22,87,147,255,1,0,0,0.1
61,5,1,1,72.0,16.0,17.9352,0.0,0.0,0.0,2.0,2.0,2.0,129,52,19,255,1,0,0,0.1
