cyclecount,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.036815,0.073624,0.110422,0.147203,0.183962,0.220694,0.257392,0.294051,0.330667,0.367232,0.403742,0.440191,0.476574,0.512886,0.54912,0.585271,0.621334,0.657304,0.693174,0.728941,0.764597,0.800138,0.835559,0.870854,0.906018,0.941045,0.975931,1.01067,1.045256,1.079685,1.113952,1.14805
2,0.073624,0.147203,0.220694,0.294051,0.367232,0.440191,0.512886,0.585271,0.657304,0.728941,0.800138,0.870854,0.941045,1.01067,1.079685,1.14805,1.215724,1.282665,1.348834,1.41419,1.478695,1.542308,1.604993,1.666711,1.727425,1.787098,1.845695,1.90318,1.959519,2.014677,2.068622,2.12132
3,0.110422,0.220694,0.330667,0.440191,0.54912,0.657304,0.764597,0.870854,0.975931,1.079685,1.181976,1.282665,1.381616,1.478695,1.573769,1.666711,1.757394,1.845695,1.931495,2.014677,2.095129,2.172741,2.247409,2.319031,2.387511,2.452754,2.514674,2.573186,2.62821,2.679673,2.727504,2.771639
4,0.147203,0.294051,0.440191,0.585271,0.728941,0.870854,1.01067,1.14805,1.282665,1.41419,1.542308,1.666711,1.787098,1.90318,2.014677,2.12132,2.222853,2.319031,2.409623,2.494409,2.573186,2.645764,2.711968,2.771639,2.824632,2.870821,2.910094,2.942356,2.96753,2.985554,2.996386,3.0
5,0.183962,0.367232,0.54912,0.728941,0.906018,1.079685,1.249289,1.41419,1.573769,1.727425,1.874578,2.014677,2.147192,2.271627,2.387511,2.494409,2.591919,2.679673,2.757342,2.824632,2.881292,2.927106,2.961904,2.985554,2.997967,2.999096,2.988938,2.96753,2.934952,2.891328,2.836822,2.771639
6,0.220694,0.440191,0.657304,0.870854,1.079685,1.282665,1.478695,1.666711,1.845695,2.014677,2.172741,2.319031,2.452754,2.573186,2.679673,2.771639,2.848585,2.910094,2.955833,2.985554,2.999096,2.996386,2.977439,2.942356,2.891328,2.824632,2.742629,2.645764,2.534561,2.409623,2.271627,2.12132
7,0.257392,0.512886,0.764597,1.01067,1.249289,1.478695,1.697195,1.90318,2.095129,2.271627,2.431372,2.573186,2.696023,2.798978,2.881292,2.942356,2.981721,2.999096,2.994354,2.96753,2.91882,2.848585,2.757342,2.645764,2.514674,2.365039,2.197963,2.014677,1.816533,1.604993,1.381616,1.14805
8,0.294051,0.585271,0.870854,1.14805,1.41419,1.666711,1.90318,2.12132,2.319031,2.494409,2.645764,2.771639,2.870821,2.942356,2.985554,3.0,2.985554,2.942356,2.870821,2.771639,2.645764,2.494409,2.319031,2.12132,1.90318,1.666711,1.41419,1.14805,0.870854,0.585271,0.294051,0.0
9,0.330667,0.657304,0.975931,1.282665,1.573769,1.845695,2.095129,2.319031,2.514674,2.679673,2.812017,2.910094,2.972708,2.999096,2.988938,2.942356,2.859918,2.742629,2.591919,2.409623,2.197963,1.959519,1.697195,1.41419,1.113952,0.800138,0.476574,0.147203,-0.183962,-0.512886,-0.835559,-1.14805
10,0.367232,0.728941,1.079685,1.41419,1.727425,2.014677,2.271627,2.494409,2.679673,2.824632,2.927106,2.985554,2.999096,2.96753,2.891328,2.771639,2.610261,2.409623,2.172741,1.90318,1.604993,1.282665,0.941045,0.585271,0.220694,-0.147203,-0.512886,-0.870854,-1.215724,-1.542308,-1.845695,-2.12132
11,0.403742,0.800138,1.181976,1.542308,1.874578,2.172741,2.431372,2.645764,2.812017,2.927106,2.988938,2.996386,2.949316,2.848585,2.696023,2.494409,2.247409,1.959519,1.635975,1.282665,0.906018,0.512886,0.110422,-0.294051,-0.693174,-1.079685,-1.446551,-1.787098,-2.095129,-2.365039,-2.591919,-2.771639
12,0.440191,0.870854,1.282665,1.666711,2.014677,2.319031,2.573186,2.771639,2.910094,2.985554,2.996386,2.942356,2.824632,2.645764,2.409623,2.12132,1.787098,1.41419,1.01067,0.585271,0.147203,-0.294051,-0.728941,-1.14805,-1.542308,-1.90318,-2.222853,-2.494409,-2.711968,-2.870821,-2.96753,-3.0
13,0.476574,0.941045,1.381616,1.787098,2.147192,2.452754,2.696023,2.870821,2.972708,2.999096,2.949316,2.824632,2.62821,2.365039,2.041803,1.666711,1.249289,0.800138,0.330667,-0.147203,-0.621334,-1.079685,-1.510615,-1.90318,-2.247409,-2.534561,-2.757342,-2.910094,-2.988938,-2.991871,-2.91882,-2.771639
14,0.512886,1.01067,1.478695,1.90318,2.271627,2.573186,2.798978,2.942356,2.999096,2.96753,2.848585,2.645764,2.365039,2.014677,1.604993,1.14805,0.657304,0.147203,-0.367232,-0.870854,-1.348834,-1.787098,-2.172741,-2.494409,-2.742629,-2.910094,-2.991871,-2.985554,-2.891328,-2.711968,-2.452754,-2.12132
15,0.54912,1.079685,1.573769,2.014677,2.387511,2.679673,2.881292,2.985554,2.988938,2.891328,2.696023,2.409623,2.041803,1.604993,1.113952,0.585271,0.036815,-0.512886,-1.045256,-1.542308,-1.987247,-2.365039,-2.662919,-2.870821,-2.981721,-2.991871,-2.900929,-2.711968,-2.431372,-2.068622,-1.635975,-1.14805
16,0.585271,1.14805,1.666711,2.12132,2.494409,2.771639,2.942356,3.0,2.942356,2.771639,2.494409,2.12132,1.666711,1.14805,0.585271,0.0,-0.585271,-1.14805,-1.666711,-2.12132,-2.494409,-2.771639,-2.942356,-3.0,-2.942356,-2.771639,-2.494409,-2.12132,-1.666711,-1.14805,-0.585271,-0.0
17,0.621334,1.215724,1.757394,2.222853,2.591919,2.848585,2.981721,2.985554,2.859918,2.610261,2.247409,1.787098,1.249289,0.657304,0.036815,-0.585271,-1.181976,-1.727425,-2.197963,-2.573186,-2.836822,-2.977439,-2.988938,-2.870821,-2.62821,-2.271627,-1.816533,-1.282665,-0.693174,-0.073624,0.54912,1.14805
