id,channel_id,track_id,attribute,track_table_id,ch_map_table_id,record_id
0,1,1,translate_z,0,0,0
1,2,2,translate_z,0,0,0
2,3,3,translate_z,0,0,0
3,4,4,translate_z,0,0,0
4,5,5,translate_z,0,0,0
5,6,6,translate_z,0,0,0
6,7,7,translate_z,0,0,0
7,8,8,translate_z,0,0,0
8,9,9,translate_z,0,0,0
9,10,10,translate_z,0,0,0
10,11,11,translate_z,0,0,0
11,12,12,translate_z,0,0,0
12,13,13,translate_z,0,0,0
13,14,14,translate_z,0,0,0
14,15,15,translate_z,0,0,0
15,16,16,translate_z,0,0,0
16,17,17,translate_z,0,0,0
17,18,18,translate_z,0,0,0
18,19,19,translate_z,0,0,0
19,20,20,translate_z,0,0,0
20,21,21,translate_z,0,0,0
21,22,22,translate_z,0,0,0
22,23,23,translate_z,0,0,0
23,24,24,translate_z,0,0,0
24,25,25,translate_z,0,0,0
25,26,26,translate_z,0,0,0
26,27,27,translate_z,0,0,0
27,28,28,translate_z,0,0,0
28,29,29,translate_z,0,0,0
29,30,30,translate_z,0,0,0
30,31,31,translate_z,0,0,0
31,32,32,translate_z,0,0,0
