id,type,parent_id,branch_level,translate_x,translate_y,translate_z,rotate_x,rotate_y,rotate_z,scale_x,scale_y,scale_z,color_r,color_g,color_b,color_a,geometry,hide,topo,ratio
1,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,128,128,128,255,22,0,17,0.1
2,5,1,1,-19.0,18.0,3.0588,0.0,0.0,0.0,0.15,0.15,0.15,112,93,61,255,22,0,0,0.1
3,5,1,1,-18.0,18.0,3.0588,0.0,0.0,0.0,0.15,0.15,0.15,46,37,28,255,22,0,0,0.1
4,5,1,1,-17.0,18.0,3.0118,0.0,0.0,0.0,0.15,0.15,0.15,57,53,42,255,22,0,0,0.1
5,5,1,1,-16.0,18.0,3.2941,0.0,0.0,0.0,0.15,0.15,0.15,51,47,36,255,22,0,0,0.1
6,5,1,1,-15.0,18.0,3.8588,0.0,0.0,0.0,0.15,0.15,0.15,45,41,30,255,22,0,0,0.1
7,5,1,1,-14.0,18.0,3.8118,0.0,0.0,0.0,0.15,0.15,0.15,46,43,26,255,22,0,0,0.1
8,5,1,1,-13.0,18.0,3.2,0.0,0.0,0.0,0.15,0.15,0.15,57,49,38,255,22,0,0,0.1
9,5,1,1,-12.0,18.0,2.4471,0.0,0.0,0.0,0.15,0.15,0.15,62,60,39,255,22,0,0,0.1
10,5,1,1,-11.0,18.0,2.0235,0.0,0.0,0.0,0.15,0.15,0.15,101,85,52,255,22,0,0,0.1
11,5,1,1,-10.0,18.0,1.8824,0.0,0.0,0.0,0.15,0.15,0.15,150,135,114,255,22,0,0,0.1
12,5,1,1,-9.0,18.0,1.9294,0.0,0.0,0.0,0.15,0.15,0.15,92,77,54,255,22,0,0,0.1
13,5,1,1,-8.0,18.0,2.1176,0.0,0.0,0.0,0.15,0.15,0.15,162,140,99,255,22,0,0,0.1
14,5,1,1,-7.0,18.0,2.1647,0.0,0.0,0.0,0.15,0.15,0.15,132,123,108,255,22,0,0,0.1
15,5,1,1,-6.0,18.0,2.1647,0.0,0.0,0.0,0.15,0.15,0.15,101,79,56,255,22,0,0,0.1
16,5,1,1,-5.0,18.0,2.1647,0.0,0.0,0.0,0.15,0.15,0.15,225,207,193,255,22,0,0,0.1
17,5,1,1,-4.0,18.0,2.1176,0.0,0.0,0.0,0.15,0.15,0.15,174,164,129,255,22,0,0,0.1
18,5,1,1,-3.0,18.0,1.9294,0.0,0.0,0.0,0.15,0.15,0.15,186,166,141,255,22,0,0,0.1
19,5,1,1,-2.0,18.0,1.5059,0.0,0.0,0.0,0.15,0.15,0.15,161,143,119,255,22,0,0,0.1
20,5,1,1,-1.0,18.0,1.4588,0.0,0.0,0.0,0.15,0.15,0.15,76,64,48,255,22,0,0,0.1
21,5,1,1,0.0,18.0,1.4118,0.0,0.0,0.0,0.15,0.15,0.15,37,34,27,255,22,0,0,0.1
22,5,1,1,1.0,18.0,1.3176,0.0,0.0,0.0,0.15,0.15,0.15,68,47,44,255,22,0,0,0.1
23,5,1,1,2.0,18.0,1.1765,0.0,0.0,0.0,0.15,0.15,0.15,168,151,108,255,22,0,0,0.1
24,5,1,1,3.0,18.0,1.1765,0.0,0.0,0.0,0.15,0.15,0.15,156,126,90,255,22,0,0,0.1
25,5,1,1,4.0,18.0,1.1765,0.0,0.0,0.0,0.15,0.15,0.15,130,112,88,255,22,0,0,0.1
26,5,1,1,5.0,18.0,1.1765,0.0,0.0,0.0,0.15,0.15,0.15,175,167,146,255,22,0,0,0.1
27,5,1,1,6.0,18.0,1.1765,0.0,0.0,0.0,0.15,0.15,0.15,106,102,67,255,22,0,0,0.1
28,5,1,1,7.0,18.0,1.1765,0.0,0.0,0.0,0.15,0.15,0.15,140,119,90,255,22,0,0,0.1
29,5,1,1,8.0,18.0,1.1765,0.0,0.0,0.0,0.15,0.15,0.15,241,228,220,255,22,0,0,0.1
30,5,1,1,9.0,18.0,1.1765,0.0,0.0,0.0,0.15,0.15,0.15,188,173,154,255,22,0,0,0.1
31,5,1,1,10.0,18.0,1.1765,0.0,0.0,0.0,0.15,0.15,0.15,175,150,119,255,22,0,0,0.1
32,5,1,1,11.0,18.0,1.1765,0.0,0.0,0.0,0.15,0.15,0.15,221,210,182,255,22,0,0,0.1
33,5,1,1,12.0,18.0,1.1765,0.0,0.0,0.0,0.15,0.15,0.15,180,135,80,255,22,0,0,0.1
34,5,1,1,13.0,18.0,1.1765,0.0,0.0,0.0,0.15,0.15,0.15,174,165,160,255,22,0,0,0.1
35,5,1,1,14.0,18.0,1.1765,0.0,0.0,0.0,0.15,0.15,0.15,184,172,150,255,22,0,0,0.1
36,5,1,1,15.0,18.0,1.1765,0.0,0.0,0.0,0.15,0.15,0.15,226,228,217,255,22,0,0,0.1
37,5,1,1,16.0,18.0,1.1765,0.0,0.0,0.0,0.15,0.15,0.15,194,181,162,255,22,0,0,0.1
38,5,1,1,17.0,18.0,1.1765,0.0,0.0,0.0,0.15,0.15,0.15,194,177,159,255,22,0,0,0.1
39,5,1,1,18.0,18.0,1.1765,0.0,0.0,0.0,0.15,0.15,0.15,203,183,156,255,22,0,0,0.1
40,5,1,1,19.0,18.0,1.1765,0.0,0.0,0.0,0.15,0.15,0.15,148,134,108,255,22,0,0,0.1
41,5,1,1,-19.0,17.0,3.7176,0.0,0.0,0.0,0.15,0.15,0.15,51,38,22,255,22,0,0,0.1
42,5,1,1,-18.0,17.0,3.4353,0.0,0.0,0.0,0.15,0.15,0.15,44,35,26,255,22,0,0,0.1
43,5,1,1,-17.0,17.0,3.5765,0.0,0.0,0.0,0.15,0.15,0.15,32,22,13,255,22,0,0,0.1
44,5,1,1,-16.0,17.0,4.0471,0.0,0.0,0.0,0.15,0.15,0.15,34,23,17,255,22,0,0,0.1
45,5,1,1,-15.0,17.0,4.3294,0.0,0.0,0.0,0.15,0.15,0.15,31,21,12,255,22,0,0,0.1
