id,type,parent_id,branch_level,translate_x,translate_y,translate_z,rotate_x,rotate_y,rotate_z,scale_x,scale_y,scale_z,color_r,color_g,color_b,color_a,geometry,hide,topo,ratio,facet
1,5,0,0,-102.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,242,61,61,255,22,0,0,0.15,1
2,5,1,1,3,2,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
3,5,1,1,-3,2,-1,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
4,5,1,1,2,-3,1,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
5,5,1,1,-2,-3,-1,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
6,5,1,1,0,4,2,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
7,5,0,0,-90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,242,121,61,255,0,0,1,0.15,1
8,5,7,1,0,0,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
9,5,7,1,0,0,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,2
10,5,7,1,0,0,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,3
11,5,7,1,0,0,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,4
12,5,7,1,0,0,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,5
13,5,0,0,-78.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,242,182,61,255,2,0,2,0.15,1
14,5,13,1,0.0,0,0.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
15,5,13,1,72.0,0,0.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
16,5,13,1,144.0,0,0.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
17,5,13,1,216.0,0,0.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
18,5,13,1,288.0,0,0.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
19,5,0,0,-66.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,242,242,61,255,6,0,3,0.15,1
20,5,19,1,0.0,0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
21,5,19,1,72.0,0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
22,5,19,1,144.0,0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
23,5,19,1,216.0,0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
24,5,19,1,288.0,0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
25,5,0,0,-54.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,182,242,61,255,18,0,4,0.15,1
26,5,25,1,0.0,0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
27,5,25,1,72.0,0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
28,5,25,1,144.0,0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
29,5,25,1,216.0,0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
30,5,25,1,288.0,0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
31,5,0,0,-42.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,121,242,61,255,17,0,5,0.15,1
32,5,31,1,-1.5,0,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
33,5,31,1,-0.75,0,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
34,5,31,1,0.0,0,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
35,5,31,1,0.75,0,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
36,5,31,1,1.5,0,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
37,5,0,0,-30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,61,242,61,255,18,0,6,0.15,1
38,5,37,1,-120.0,0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
39,5,37,1,-60.0,0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
40,5,37,1,0.0,0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
41,5,37,1,60.0,0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
42,5,37,1,120.0,0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
43,5,0,0,-18.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,61,242,121,255,22,0,7,0.15,1
44,5,43,1,0.0,0,2.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
45,5,43,1,72.0,0,2.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
46,5,43,1,144.0,0,2.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
47,5,43,1,216.0,0,2.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
48,5,43,1,288.0,0,2.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
49,5,0,0,-6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,61,242,182,255,20,0,8,0.15,1
50,5,49,1,2.0,0.0,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
51,5,49,1,0.618,1.9021,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
52,5,49,1,-1.618,1.1756,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
53,5,49,1,-1.618,-1.1756,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
54,5,49,1,0.618,-1.9021,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
55,5,0,0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,61,242,242,255,0,0,9,0.15,1
56,5,55,1,0,0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
57,5,55,1,0,0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,2
58,5,55,1,0,0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,3
59,5,55,1,0,0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,4
60,5,55,1,0,0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,5
61,5,0,0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,61,182,242,255,2,0,10,0.15,1
62,5,61,1,0.0,0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
63,5,61,1,72.0,0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
64,5,61,1,144.0,0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
65,5,61,1,216.0,0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
66,5,61,1,288.0,0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
67,5,0,0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,61,121,242,255,6,0,11,0.15,1
68,5,67,1,0.0,0,0.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
69,5,67,1,72.0,0,0.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
70,5,67,1,144.0,0,0.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
71,5,67,1,216.0,0,0.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
72,5,67,1,288.0,0,0.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
73,5,0,0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,61,61,242,255,18,0,12,0.15,1
74,5,73,1,0.0,0,0.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
75,5,73,1,72.0,0,0.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
76,5,73,1,144.0,0,0.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
77,5,73,1,216.0,0,0.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
78,5,73,1,288.0,0,0.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
79,5,0,0,54.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,121,61,242,255,18,0,13,0.15,1
80,5,79,1,0,-1.5,0.3,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
81,5,79,1,0,-0.75,0.3,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
82,5,79,1,0,0.0,0.3,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
83,5,79,1,0,0.75,0.3,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
84,5,79,1,0,1.5,0.3,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
85,5,0,0,66.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,182,61,242,255,4,0,14,0.15,1
86,5,85,1,0,0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
87,5,85,1,144,0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
88,5,85,1,288,0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
89,5,85,1,432,0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
90,5,85,1,576,0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
91,5,0,0,78.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,242,61,242,255,21,0,15,0.15,1
92,5,91,1,-3,-2,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
93,5,91,1,3,-2,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
94,5,91,1,-3,2,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
95,5,91,1,3,2,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
96,5,91,1,0,0,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
97,5,0,0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,242,61,182,255,22,0,16,0.15,1
98,5,97,1,0,0,0,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
99,5,97,1,1,0,1.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
100,5,97,1,2,0,0.5,0.0,0.0,0.0,0.3,0.3,0.3,230,230,230,255,3,0,0,0.1,1
