design_id,created_at,node_csv,tag_csv,recipe_json,branch_levels,requested_max_nodes,actual_node_count,seed,generation_mode,parent_design_id,geometry_family,palette_scheme,translucent,rating,categories,notes
hyperglyph_000_gv_node20260701061954,2026-07-01T06:19:54,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_000_gv_node20260701061954.csv,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_000_gv_tag20260701061954.csv,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_00020260701061954_recipe.json,5,2000,1931,1948145801,random,,wire_only,analogous,TRUE,3,Too many geometries in BL 2-4 are grouped in a cluster and look like a ball of twine,
hyperglyph_001_gv_node20260701061954,2026-07-01T06:19:54,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_001_gv_node20260701061954.csv,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_001_gv_tag20260701061954.csv,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_00120260701061954_recipe.json,5,2000,1730,787741916,random,,mixed,monochrome,FALSE,7,"Beautiful, perhaps too simple with just one color, pink",
hyperglyph_002_gv_node20260701061954,2026-07-01T06:19:54,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_002_gv_node20260701061954.csv,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_002_gv_tag20260701061954.csv,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_00220260701061954_recipe.json,5,2000,1675,1720015922,random,,wire_only,split_complementary,FALSE,,,
hyperglyph_003_gv_node20260701061954,2026-07-01T06:19:54,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_003_gv_node20260701061954.csv,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_003_gv_tag20260701061954.csv,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_00320260701061954_recipe.json,5,2000,1969,1142137432,random,,mixed,split_complementary,FALSE,,,
hyperglyph_004_gv_node20260701061954,2026-07-01T06:19:54,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_004_gv_node20260701061954.csv,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_004_gv_tag20260701061954.csv,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_00420260701061954_recipe.json,5,2000,1744,1246770229,random,,mixed,rainbow,FALSE,,,
hyperglyph_005_gv_node20260701061954,2026-07-01T06:19:54,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_005_gv_node20260701061954.csv,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_005_gv_tag20260701061954.csv,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_00520260701061954_recipe.json,5,2000,1716,847012197,random,,platonic,analogous,FALSE,,,
hyperglyph_006_gv_node20260701061954,2026-07-01T06:19:54,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_006_gv_node20260701061954.csv,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_006_gv_tag20260701061954.csv,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_00620260701061954_recipe.json,5,2000,1774,210639945,random,,wire_only,analogous,TRUE,,,
hyperglyph_007_gv_node20260701061954,2026-07-01T06:19:54,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_007_gv_node20260701061954.csv,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_007_gv_tag20260701061954.csv,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_00720260701061954_recipe.json,5,2000,1562,318699106,random,,mixed,analogous,FALSE,,,
hyperglyph_008_gv_node20260701061954,2026-07-01T06:19:54,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_008_gv_node20260701061954.csv,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_008_gv_tag20260701061954.csv,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_00820260701061954_recipe.json,5,2000,1963,1565827169,random,,round,complementary,TRUE,,,
hyperglyph_009_gv_node20260701061954,2026-07-01T06:19:54,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_009_gv_node20260701061954.csv,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_009_gv_tag20260701061954.csv,C:\Users\jsale\source\repos\glyphviz\hyperglyph_lab\output\hyperglyph_00920260701061954_recipe.json,5,2000,1618,1421034323,random,,spiky,split_complementary,FALSE,,,
